"","c.3.02062768611933..17.2945286624931..4.95505078739241..7.12079193068082.."
"185",8.29533287958678
"186",6.2156424211164
"187",46.9544615855258
"188",6.80849540685504
"189",10.3438536925739
"190",22.5931304336295
"191",18.149714044597
"192",21.5057178216184
"193",6.09552516196444
"194",9.95590748856106
"195",9.23479219386293
"196",7.07494974677136
"197",7.26526199461453
"198",12.9602172306151
"199",6.22006092184136
"200",8.54601592894097
"201",6.33538571469421
"202",16.2026784971402
"203",17.819487999201
"204",20.0653185675038
"205",58.9670152142474
"206",7.07045547977325
"207",12.6029108230453
"208",5.40756619416519
"209",9.32247604888955
"210",5.90138466207316
"211",5.40895192545176
"212",3.18925508506424
"213",6.25437157292687
"214",10.0702386907828
"215",4.80970398075713
"216",6.41074741219022
"217",6.51103810070797
"218",5.3010627776135
"219",14.2203438629994
"220",7.77043815582307
"221",5.79576907325228
"222",2.15003132479164
"223",4.25629638460059
"224",3.8417493982689
"225",4.91545369704962
"226",17.4655683705836
"227",21.5099414512208
"228",24.8456498180774
"229",36.6874973572209
"230",21.6887345136581
"231",5.29860316513442
"232",5.32915682707928
"233",6.20785117605084
"234",7.27049304715596
"235",4.71894404795164
"236",6.60584510221357
"237",12.9320291254264
"238",7.6283282985
"239",8.71038560833054
"240",7.67667943481782
"241",3.2130611149238
"242",4.07209937121535
"243",7.64020078049426
"244",5.99273799043707
"245",4.4200086894402
"246",21.8393112890184
"247",23.6408698353692
"248",14.0719074380324
"249",25.9249723215403
"250",19.4306684870824
"251",26.3800737991693
"252",5.31043545260997
"253",9.44008361731023
"254",11.4330248855596
"255",14.734266698455
"256",7.82399788230711
"257",15.9872539712854
"258",4.40391448470693
"259",4.14110325497171
"260",5.14427264539098
"261",15.6920697956032
"262",10.3642621167285
"263",5.41048350107735
"264",107.153598713765
"265",8.26783205910845
"266",6.34327911801215
"267",263.966925492036
"268",3.91726547629977
"269",4.84764619214261
"270",8.72650788583034
"271",2.84692732580295
"272",7.22678440705548
"273",8.15651583107667
"274",11.4990705308374
"275",9.10180709897294
"276",3.1150278556145
"277",4.05683828285815
"278",32.523513141664
"279",4.0775071941734
"280",12.5318257100146
"281",6.84265484639715
"282",7.62592182017396
"283",14.4644158741046
"284",7.4777470352158
"285",26.0222564428257
"286",8.18233083051201
"287",5.53176482009596
"288",29.8623504287831
"289",16.3582746774928
"290",10.5756490144039
"291",7.81032907399323
"292",3.27337037993092
"293",4.63049043353939
"294",13.5187515284807
"295",14.098185851928
"296",7.20850367131516
"297",21.9686565302237
"298",10.7703681313604
"299",10.3015121545475
"300",19.7097117962841
"301",32.4782564731108
"302",19.7202780681707
"303",17.387749223479
"304",13.0301736876308
"305",13.7173268014154
"306",10.198896946603
"307",18.7934534007236
"308",30.1146458375484
"309",9.38222132527569
"310",11.5787662718365
"311",17.7815063930925
"312",22.541445661214
"313",31.3474727408655
"314",7.40248104080049
"315",19.6406024306892
"316",8.44083441665626
"317",8.97402105674905
"318",11.3992539651362
"319",17.2152867566981
"320",5.53965101087135
"321",15.6441250873347
"322",14.674911137874
"323",21.3205796581309
"324",7.38194333245523
"325",14.0439361978505
"326",15.6013762305116
"327",20.6660752436775
"328",17.0554620051928
"329",11.4560146943487
"330",10.0623891919152
"331",16.44838286597
"332",14.9879433346702
"333",6.4635413080162
"334",10.3930233969071
"335",10.1006133157988
"336",8.04723813229458
"337",4.89526534742472
"338",10.5449146879299
"339",19.4844542511279
"340",181.1804997172
"341",13.243172165258
"342",23.8415573152086
"343",61.1330139497833
"344",123.882216921898
"345",127.835318495814
"346",27.3558048723502
"347",56.9570351059854
"348",34.6267540378608
"349",28.7775091624587
"350",29.3284406847596
"351",21.3435995064534
"352",31.5479707501469
"353",14.0765557527436
"354",5.02853556284338
"355",15.4757700373674
"356",15.4343068702295
"357",33.9795501785858
"358",31.4331608201516
"359",37.152165839611
"360",33.4231293087188
"361",5.64538769308392
"362",9.37903096884433
"363",5.33946246034866
"364",9.19051028447882
"365",6.56011313180522
"366",4.91416230676643
"367",5.1901616044489
"368",25.8305019905564
"369",68.0404757103179
"370",40.5900075652925
"371",269.489164843556
"372",179.890091572347
"373",242.784108597366
"374",116.954480132643
"375",254.401032014131
"376",5.01421054120263
"377",11.4486540880242
"378",4.88176924999469
"379",13.1326504596868
"380",5.88615840146193
"381",12.7714961373161
"382",7.51025894603685
"383",4.87614716082512
"384",4.66948868946592
"385",6.78517667340625
"386",16.2563971286573
"387",13.3434123245038
"388",27.3540956330691
"389",24.4148429426459
"390",11.908638879102
"391",10.1554825339134
"392",288.753085846561
"393",28.5888753000269
"394",20.8163306799221
"395",8.05021778214444
"396",70.8480867344948
"397",94.7962824216166
"398",130.845783305303
"399",212.086798917171
"400",190.232346079115
"401",183.230090861828
"402",93.5770057452318
"403",313.309642004173
"404",158.736803962177
"405",224.694599120339
"406",129.571136361078
"407",83.5763583253557
"408",94.543144052474
"409",94.1969258423998
"410",4.48379987682002
"411",3.12152361502875
"412",10.3281946576112
"413",20.1344567161239
"414",14.0638434057205
"415",87.0352764150465
"416",14.2428578048314
"417",8.82121546918416
"418",4.77829381790702
"419",8.29302719662736
"420",5.80977036765932
"421",2.89493939217555
"422",4.10000584226814
"423",6.22788842845216
"424",4.35712196605968
"425",8.42944136707159
"426",8.37628037059608
"427",12.8606911194476
"428",8.91808705178073
"429",9.09209955755977
"430",6.92679370005754
"431",6.66076476384107
"432",6.88991242923255
"433",7.184179268572
"434",13.7768501357271
"435",9.42064118407183
"436",20.9196734734905
"437",7.78017681927397
"438",7.21635467694712
"439",5.3862521588642
"440",5.74227980352534
"441",14.900076270221
"442",12.8845101988831
"443",4.20508969649611
"444",16.7804706911889
"445",11.040199561439
"446",6.69102220021253
"447",8.19896061276495
"448",4.51850206776489
"449",26.8937557868876
"450",24.8211792491701
"451",22.7505255319578
"452",4.55106567040231
"453",12.5849579871116
"454",6.96056209043828
"455",24.5879074301087
"456",5.91961351426347
"457",4.41386845957153
"458",5.66995676662044
"459",6.10069272324055
"460",4.36706099958428
"461",8.53130413460874
"462",3.95485995657652
"463",13.4341949799272
"464",3.04385915417434
"465",17.820802559185
"466",3.75121747808816
"467",16.0762628774103
"468",11.3120887605278
"469",9.26933512260856
"470",27.3207826498781
"471",39.9219088818593
"472",12.8644541544955
"473",9.63371740767832
"474",9.52865535131346
"475",7.46971941888929
"476",6.46063166178309
"477",12.8199324574194
"478",9.44468252546347
"479",10.9760043798988
"480",8.09991798711966
"481",8.37233833114103
"482",6.07876545840221
"483",5.9253024171184
"484",9.57650217107641
"485",11.7163890949084
"486",12.042173820532
"487",7.76122106639557
"488",195.317395525806
"489",24.7816364692503
"490",19.3909056382215
"491",9.97632370134179
"492",17.8165569192893
"493",14.9024758231314
"494",22.7002837541715
"495",17.6120894284533
"496",22.8442796673076
"497",13.6614959135345
"498",14.2909908451925
"499",8.87915684962326
"500",14.9351291043112
"501",16.3196935094956
"502",18.373387131459
"503",20.9199631421508
"504",8.81007151328791
"505",6.1422492772588
"506",12.2065057721222
"507",4.89457869693296
"508",9.28618849592812
"509",15.2032412518503
"510",8.23759335777577
"511",21.9652043598313
"512",19.1273355034904
"513",19.956805005985
"514",16.2357497203142
"515",7.54676782837385
"516",6.45744865893422
"517",12.9852494481747
"518",10.8038799482668
"519",10.4743254080029
"520",21.9537746669691
"521",298.314030170177
"522",135
"523",45.1932291289304
"524",26.9341335199976
"525",5.83953355607668
"526",10.2243782623332
