unique_id,stability,lumpiness,hurst,flat_spots,entropy,crossing_points
2086.0,0.05849358974358975,0.015224358974358976,,32,0.8195173064713389,5
2087.0,0.05849358974358975,0.015224358974358976,,32,0.8195173064713389,5
2088.0,0.03525641025641025,0.015669515669515667,,33,0.8062715441717718,4
2089.0,0.0,0.0,,55,-0.0,0
2090.0,0.0,0.0,,55,-0.0,0
2091.0,0.0,0.0,,55,-0.0,0
2092.0,0.0,0.0,,55,-0.0,0
2093.0,0.0,0.0,,55,-0.0,0
2094.0,0.03766025641025641,0.02021011396011396,,18,0.8237697472822473,6
2095.0,0.008814102564102562,0.008814102564102562,,34,0.8957674418210274,2
2096.0,0.09375,0.02377136752136752,,9,0.784958046447437,13
2097.0,0.0985576923076923,0.02377136752136752,,9,0.8023512263128871,11
2098.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2099.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2100.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2101.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2102.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2103.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2104.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2105.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2106.0,0.047275641025641024,0.023771367521367517,0.6003476556705765,23,0.8616851890765842,9
2107.0,0.0,0.0,,55,-0.0,0
2108.0,0.09935897435897433,0.029914529914529916,,8,0.8009233449578429,17
2109.0,0.02483974358974358,0.015224358974358976,,34,0.8062715441717715,4
2110.0,0.008814102564102562,0.008814102564102562,,34,0.8957674418210274,2
2111.0,0.0,0.0,,55,-0.0,0
2112.0,0.0,0.0,,55,-0.0,0
2113.0,0.0,0.0,,55,-0.0,0
2114.0,0.0,0.0,,55,-0.0,0
2115.0,0.0,0.0,,55,-0.0,0
2116.0,0.14743589743589744,0.008547008547008544,,32,0.656180255831979,4
2117.0,0.06410256410256411,0.028490028490028487,,11,0.7877097826195721,10
2118.0,0.06410256410256411,0.028490028490028487,,11,0.7877097826195721,10
2119.0,0.0,0.0,,55,-0.0,0
2120.0,0.0,0.0,,55,-0.0,0
2121.0,0.019230769230769235,0.008547008547008544,,36,0.8957674418210274,2
2122.0,0.019230769230769235,0.008547008547008544,,33,0.8957674418210274,2
2123.0,0.019230769230769235,0.008547008547008544,,33,0.8957674418210274,2
2124.0,0.019230769230769235,0.008547008547008544,,36,0.8957674418210274,2
2125.0,0.019230769230769235,0.008547008547008544,,33,0.8063564985749911,3
2126.0,0.019230769230769235,0.008547008547008544,,36,0.8957674418210274,2
2127.0,0.0,0.0,,55,-0.0,0
2128.0,0.019230769230769235,0.008547008547008544,,36,0.8957674418210274,2
