unique_id,unitroot_pp,unitroot_kpss,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,nonlinearity,lumpiness,hurst,alpha,beta,flat_spots,entropy,crossing_points,arch_lm,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1
4538.0,-54.3860511503703,0.126168337163689,81.99599358974358,1,4,0.3098535095959165,110.82885765187255,20.535507362336283,-5.519014508412791,-0.5215647177260223,0.49032931866159546,0.2121094557275588,3,2,0.017531109338254178,0.50331304232416,0.6748794516310171,0.038663348502593925,0.390907685345671,497170.9947471511,0.7474663202773344,1.4901161193847656e-08,1.4901161193847656e-08,6,0.8840770811027625,28,0.17366195247335614,-0.061083383907654595,0.07607647889233188,-0.47747442943730595,0.3243162372315889,-0.6022103141235134,0.45841179754296796,0.04030167980131326
4539.0,-55.6766074699319,0.08424012694330425,113.02083333333333,1,4,0.2559289363149996,123.74202394242779,7.958856426739324,-17.462595638759765,-0.5576750106202902,0.7852171171739623,0.2464560956273183,3,1,0.0664593847539609,0.6099448577484036,0.9193420863292817,0.1450806644387618,0.013820233563528683,515293.078525641,0.5728691333572207,3.562500434865896e-08,1.0919043875555325e-08,6,0.837274955500328,28,0.17687132955419838,-0.1134813851387215,0.17165947725075206,-0.49979759181189676,0.47084757343179484,-0.6254210156925499,0.6504989591394126,0.14833576165514822
4540.0,-57.927918463523255,0.5315520999385643,274.3557692307692,1,4,0.36821348299126644,176.80968090626496,63.50342326312151,-50.38631522754892,-0.576720054841811,0.43082633800085884,0.19691720058219497,3,2,0.06261089002564754,0.6501940773761405,1.1688734218247694,0.12518039880242388,0.2752450405389139,582042.3742877494,0.8437825503123174,0.0007489494608400137,2.3288758056710868e-11,7,0.8556527317724701,24,0.2587964065787751,-0.02553273292866214,0.1599009020743419,-0.5730119624068328,0.4047389960566904,-0.7093075109069918,0.6266052004246456,0.13198028684274912
4541.0,-41.003421967414724,0.10039302400399504,6.7435897435897445,1,4,0.5220800707004211,0.07317777740934936,0.04253728999550033,3.2323396583403556,-0.329518961277525,0.5894003102400718,0.19914182904603994,3,2,0.06597723881271385,0.3727237685512984,0.9441158919656736,0.08831480299011697,0.4100169196725638,239.19497863247855,,1.4901161193847656e-08,0.0,3,0.8312197159050776,20,0.11708095856665057,0.21664886858529173,0.20095921609331008,-0.3946564885496183,0.33277489656779907,-0.5966936970382775,0.5037746205820438,0.108489644273518
4542.0,-50.10128808911564,0.363479885849035,203.3213141025641,1,4,0.45574737304265867,220.76835508649424,-33.79815084862399,-70.80823439311315,-0.4545758921126165,0.5246193764884617,0.10857164821550891,1,2,0.08583693761760473,0.675535645682694,1.1281858003143301,-0.013819857662718647,0.13926154755294612,736119.1138710825,0.7554870684588322,0.12631785874275797,3.771696057966045e-11,6,0.8513361986273685,18,0.24244020282123024,0.10708772321125555,0.19731450817715726,-0.5068744024245327,0.35534784771720546,-0.6799416059800674,0.5631921058207657,0.009183882496926376
4543.0,-52.42084767477307,0.49880742089428326,12.345352564102564,1,4,0.4025974632693383,0.32708985141907454,12.941220982227303,-3.4191882077439573,-0.5344558840278496,0.7269214109509956,0.14200051254613666,1,2,0.07834490695955244,0.4902260974261515,0.9168234276655048,-0.1877667143320913,0.050501259905165505,790.5406873219373,0.7406158478936619,1.4901161193847656e-08,1.377346897285999e-10,3,0.8742231858783416,25,0.17159208516620528,0.07008494439791553,0.1583202554309779,-0.48332786389528465,0.43967894069991337,-0.626116574960604,0.6395514764387039,-0.1569442990415038
4544.0,-40.213030887685264,0.24273687757266454,63.42868589743589,1,4,0.6412146760078661,1.2109530614041404,15.61600927052682,5.597020102831813,-0.44741446943762725,0.41689258933710993,0.2749993895591273,2,1,0.1995622862762645,0.39089569795524287,0.9379874467187319,0.04911017318246646,0.519969430466961,3898.4092770655275,,0.3256498251807416,0.0,3,0.7940653539752979,21,0.4054091072912792,0.3098395203561053,0.39169874353426165,-0.5488704272650788,0.4408631441895881,-0.7416066823030402,0.8016697363169029,0.19916828214760016
4545.0,-32.54158754443958,0.3343684441932043,12.70192307692308,1,4,0.6874849697315147,0.027365535271578,8.653921340850376,-7.0895451798679225,-0.3770183925033117,1.090610479618665,0.4074326843639521,1,4,0.22770882955903518,0.31389484086843633,0.8440094611039154,-0.04166538254454852,0.18292288260775452,633.7829415954415,0.8719608314262425,0.2503716510468735,0.0,4,0.8279194666775562,22,0.22584777799844413,0.3874665327978582,0.3488949172974809,-0.3048712323376525,0.4176732155933776,-0.5189329298846795,0.5915810227639325,0.1251673360107095
4546.0,-58.640186545504314,0.3031546232423053,10.137019230769232,1,4,0.44586265893431076,0.2763627769936503,-5.524694750420984,2.174211771554914,-0.49468483809241004,0.5507143633247507,0.36315973822471614,1,4,0.044028626866823975,0.5537525704115824,0.9002285006637749,0.09923478558684304,0.9547637147471225,1547.0752314814815,0.7692256558512357,1.9374202589762456e-07,3.184634513398595e-11,3,0.8859305709817895,21,0.26202868766372966,-0.0682767820880051,0.08090446927552328,-0.5462011221073582,0.36066469457864847,-0.6886322367642597,0.6204323957300271,0.10395304885349885
4547.0,-52.17629673035659,0.05709507156675262,37.59855769230769,1,4,0.35080199124877,22.863589728439777,2.953094066052101,3.740676509555086,-0.4180796870292224,0.5145113245974681,0.23964468381305504,4,3,0.02997126721606142,0.4832966567332897,0.9952068235771319,-0.05657921184391645,0.23904779339431795,83073.00827991452,0.44056661909554773,1.4901161193847656e-08,1.4901161193847656e-08,6,0.8923068180625571,22,0.19864392786035312,-0.0641488062468756,0.10335016935072613,-0.4788349710858172,0.3954206986810807,-0.6577975613947384,0.6985047010277531,-0.030671197423290344
